id,user_id,friend_of
11796,30000,30001
11797,30005,30006
11798,30009,30010
11799,30011,30012
11800,30015,30016
11801,30006,30017
11802,30020,30021
11803,30024,30025
11804,30024,30022
11805,30024,30026
11806,30032,30033
11807,30032,30034
11808,30032,30019
11809,30039,30040
11810,30047,30045
11811,30062,30063
11812,30010,30060
11813,30064,30000
11814,30065,30066
11815,30069,30070
11816,30023,30032
11817,30032,30030
11818,30081,30093
11819,30097,30098
11820,30100,30101
11821,30100,30102
11822,30106,30062
11823,30099,30107
11824,30109,30110
11825,30118,30119
11826,30000,30127
11827,30128,30129
11828,30128,30130
11829,30010,30131
11830,30026,30073
11831,30133,30134
11832,30133,30135
11833,30133,30136
11834,30133,30137
11835,30133,30138
11836,30032,30038
11837,30024,30147
11838,30157,30081
11839,30177,30178
11840,30177,30173
11841,30177,30113
11842,30180,30181
11843,30130,30140
11844,30140,30201
11845,30084,30208
11846,30211,30212
11847,30221,30222
11848,30229,30230
11849,30071,30234
11850,30256,30244
11851,30172,30263
11852,30010,30238
11853,30067,30277
11854,30195,30280
11855,30047,30229
11856,30047,30190
11857,30047,30084
11858,30281,30282
11859,30284,30285
11860,30284,30286
11861,30280,30295
11862,30015,30299
11863,30093,30068
11864,30093,30023
11865,30084,30185
11866,30017,30035
11867,30068,30311
11868,30313,30237
11869,30017,30340
11870,30321,30330
11871,30120,30352
11872,30313,30356
11873,30360,30329
11874,30153,30363
11875,30017,30047
11876,30081,30308
11877,30374,30375
11878,30173,30384
11879,30395,30396
11880,30309,30399
11881,30317,30265
11882,30032,30049
11883,30067,30412
11884,30404,30415
11885,30418,30216
11886,30419,30359
11887,30419,30420
11888,30426,30427
11889,30426,30428
11890,30017,30430
11891,30297,30433
11892,30237,30437
11893,30317,30318
11894,30008,30442
11895,30194,30236
11896,30412,30005
11897,30222,30454
11898,30105,30457
11899,30445,30118
11900,30469,30470
11901,30289,30339
11902,30030,30446
11903,30475,30476
11904,30222,30406
11905,30470,30477
11906,30140,30479
11907,30313,30278
11908,30041,30486
11909,30475,30499
11910,30501,30502
11911,30313,30506
11912,30507,30289
11913,30507,30508
11914,30507,30505
11915,30029,30153
11916,30472,30516
11917,30140,30436
11918,30081,30524
11919,30017,30513
11920,30067,30501
11921,30237,30532
11922,30536,30537
11923,30543,30448
11924,30071,30547
11925,30015,30550
11926,30015,30083
11927,30015,30551
11928,30556,30557
11929,30556,30558
11930,30566,30567
11931,30366,30160
11932,30571,30572
11933,30017,30577
11934,30579,30125
11935,30579,30520
11936,30579,30500
11937,30073,30580
11938,30049,30581
11939,30500,30196
11940,30500,30591
11941,30104,30597
11942,30580,30598
11943,30045,30600
11944,30084,30182
11945,30032,30604
11946,30143,30087
11947,30070,30165
11948,30611,30612
11949,30083,30621
11950,30620,30623
11951,30332,30620
11952,30626,30627
11953,30631,30632
11954,30631,30348
11955,30389,30634
11956,30381,30636
11957,30640,30641
11958,30237,30639
11959,30103,30642
11960,30532,30644
11961,30532,30645
11962,30278,30648
11963,30278,30332
11964,30278,30649
11965,30278,30650
11966,30660,30661
11967,30661,30660
11968,30665,30666
11969,30600,30667
11970,30620,30671
11971,30221,30673
11972,30501,30677
11973,30345,30611
11974,30670,30685
11975,30083,30686
11976,30278,30687
11977,30685,30670
11978,30580,30174
11979,30694,30008
11980,30594,30696
11981,30656,30328
11982,30352,30698
11983,30081,30707
11984,30709,30710
11985,30711,30071
11986,30125,30658
11987,30068,30719
11988,30707,30711
11989,30707,30389
11990,30707,30149
11991,30707,30723
11992,30707,30724
11993,30658,30159
11994,30744,30745
11995,30186,30759
11996,30186,30760
11997,30047,30717
11998,30711,30768
11999,30768,30770
12000,30655,30754
12001,30772,30773
12002,30553,30517
12003,30017,30786
12004,30791,30794
12005,30118,30795
12006,30118,30082
12007,30118,30796
12008,30006,30729
12009,30118,30445
12010,30198,30240
12011,30234,30803
12012,30240,30594
12013,30184,30193
12014,30006,30431
12015,30647,30055
12016,30361,30815
12017,30173,30817
12018,30826,30827
12019,30011,30838
12020,30839,30414
12021,30844,30845
12022,30845,30844
12023,30711,30854
12024,30834,30791
12025,30107,30831
12026,30842,30866
12027,30042,30880
12028,30882,30883
12029,30475,30886
12030,30811,30890
12031,30047,30141
12032,30124,30895
12033,30904,30884
12034,30140,30475
12035,30186,30321
12036,30919,30920
12037,30921,30744
12038,30067,30932
12039,30400,30912
12040,30400,30951
12041,30071,30957
12042,30844,30870
12043,30655,30215
12044,30711,30962
12045,30711,30969
12046,30047,30970
12047,30972,30973
12048,30976,30977
12049,30942,30980
12050,30958,30981
12051,30148,30913
12052,30148,30228
12053,30419,30982
12054,30419,30983
12055,30419,30984
12056,30419,30985
12057,30989,30979
12058,30306,30472
12059,30306,30655
12060,30306,30963
12061,30580,30999
12062,30017,31005
12063,30437,31008
12064,30352,30013
12065,30355,31012
12066,31013,30877
12067,30228,31014
12068,31022,31023
12069,30711,31026
12070,30141,31038
12071,31052,31053
12072,31055,31056
12073,31065,31066
12074,30664,30078
12075,30664,31077
12076,30237,30960
12077,30237,30809
12078,31036,31017
12079,30694,31084
12080,30873,30875
12081,30041,31093
12082,31071,31086
12083,31063,31096
12084,31051,31101
12085,30809,31035
12086,30809,31112
12087,30809,30151
12088,30811,31113
12089,31065,31120
12090,30032,31122
12091,31036,30958
12092,30213,31089
12093,31128,31129
12094,30140,31133
12095,30213,31135
12096,30213,30853
12097,30624,30896
12098,31144,31145
12099,30186,30401
12100,30678,31080
12101,30768,31158
12102,30768,31159
12103,30044,31042
12104,31171,31172
12105,31022,31181
12106,31184,31185
12107,31184,31190
12108,30163,31155
12109,30215,31197
12110,30237,31188
12111,30417,31165
12112,31184,30731
12113,30140,30966
12114,30455,31220
12115,30455,30388
12116,31155,31221
12117,30237,31223
12118,31229,31230
12119,30419,31234
12120,30163,31225
12121,30431,30024
12122,30718,31248
12123,30718,30678
12124,31248,30893
12125,31252,31232
12126,31254,30355
12127,31205,31261
12128,31248,31265
12129,30008,31273
12130,30406,31255
12131,30918,31269
12132,30277,30835
12133,31016,30704
12134,30379,30198
12135,30208,31241
12136,31293,31294
12137,31082,31229
12138,30178,31296
12139,30965,31298
12140,31159,31206
12141,31248,31317
12142,31248,31321
12143,30475,30276
12144,30067,31324
12145,30473,31325
12146,31334,31335
12147,31248,30029
12148,31212,31340
12149,31248,31342
12150,31248,31319
12151,31344,31345
12152,31302,31262
12153,30032,31362
12154,31248,31363
12155,31369,31370
12156,31044,31371
12157,31248,31337
12158,30417,30419
12159,30140,31385
12160,31386,31387
12161,31388,31389
12162,31388,30755
12163,31248,31396
12164,31248,31398
12165,30229,31400
12166,31248,31402
12167,31248,31416
12168,30186,31419
12169,30352,31426
12170,30145,31427
12171,30140,30246
12172,30660,30832
12173,31206,31372
12174,31293,31311
12175,31022,31437
12176,30624,31413
12177,31450,31442
12178,31248,31071
12179,31248,31458
12180,30289,31463
12181,30032,31466
12182,30163,31467
12183,30057,31470
12184,30017,31451
12185,31402,31474
12186,31193,31488
12187,30041,31481
12188,30190,31494
12189,31248,31497
12190,30942,31507
12191,31248,30553
12192,30755,31509
12193,30029,31512
12194,31465,31518
12195,30032,31490
12196,30278,30521
12197,30229,31498
12198,31391,31530
12199,31018,31532
12200,30048,31536
12201,31539,30145
12202,31539,31401
12203,31539,31540
12204,30954,31543
12205,30017,31533
12206,31024,30736
12207,30942,31546
12208,31553,31556
12209,31094,31561
12210,31094,31318
12211,31094,31562
12212,31094,31563
12213,31265,31567
12214,31569,30186
12215,30552,31573
12216,30047,31578
12217,30890,31550
12218,30890,31585
12219,31545,31572
12220,30677,31535
12221,31248,31274
12222,31248,31613
12223,30671,31615
12224,30671,31616
12225,30829,30903
12226,31625,30496
12227,31626,31627
12228,31632,31143
12229,30190,31636
12230,31023,31637
12231,31248,30345
12232,31569,31576
12233,31274,31646
12234,31648,31590
12235,30660,31649
12236,30229,31655
12237,30755,30117
12238,31658,31659
12239,30915,31661
12240,31642,31647
12241,31642,31665
12242,30402,31666
12243,30936,31664
12244,31248,31559
12245,31248,31656
12246,31248,31642
12247,31248,31057
12248,31255,31675
12249,31401,31684
12250,30140,30633
12251,30475,31687
12252,31248,30823
12253,31248,31641
12254,31248,31696
12255,31021,31697
12256,30140,31699
12257,31248,30954
12258,31248,31698
12259,31704,31710
12260,30406,31499
12261,31082,31713
12262,30552,30056
12263,31717,31718
12264,30552,30718
12265,30113,31735
12266,30324,31738
12267,31748,31749
12268,31293,31755
12269,30190,30461
12270,31551,31760
12271,31761,30915
12272,31241,31765
12273,30832,31766
12274,31569,31531
12275,30141,31773
12276,31463,31502
12277,31023,31786
12278,30093,31788
12279,30289,30471
12280,31201,31796
12281,30026,31607
12282,31793,31558
12283,30471,31803
12284,30047,31816
12285,30580,31818
12286,30580,31819
12287,31820,31787
12288,31699,31201
12289,31825,31703
12290,31825,31826
12291,31451,31829
12292,30172,31830
12293,30269,31824
12294,30269,30284
12295,31097,30379
